scenario,condition,run_id,final_file
1a,r,1,estimate_rt.R
1a,r,2,estimate_rt.R
1a,r,3,estimate_rt.R
1a,python,1,estimate_rt.py
1a,python,2,estimate_rt.py
1a,python,3,estimate_rt.py
1a,julia,1,estimate_rt_simple.jl
1a,julia,2,simple_rt_estimation.jl
1a,julia,3,estimate_rt_final.jl
1a,epiaware,1,estimate_rt.jl
1a,epiaware,2,estimate_rt.jl
1a,epiaware,3,estimate_rt.jl
1b,r,1,rt_simple.R
1b,r,2,estimate_rt_simple.R
1b,r,3,rt_estimation.R
1b,python,1,rt_estimation_final.py
1b,python,2,estimate_rt_fast.py
1b,python,3,rt_estimation_fast.py
1b,julia,1,estimate_rt_simple.jl
1b,julia,2,rt_renewal_direct.jl
1b,julia,3,rt_estimation_fixed.jl
1b,epiaware,1,quick_rt_demo.jl
1b,epiaware,2,simple_rt_direct.jl
1b,epiaware,3,estimate_rt.jl
2,r,1,rt_estimation.R;rt_model.stan
2,r,2,rt_estimation.R
2,r,3,fit_rt_model_simple.R;rt_model_fixed.stan
2,python,1,rt_estimation_simple.py
2,python,2,rt_estimation_robust.py
2,python,3,demo_rt_estimation.py
2,julia,1,functional_rt_analysis.jl
2,julia,2,rt_estimation_simple.jl
2,julia,3,rt_comprehensive_final.jl
2,epiaware,1,
2,epiaware,2,rt_estimation_fixed.jl
2,epiaware,3,comprehensive_rt_estimation.jl
3,r,1,simplified_rt_estimation.R;multi_stream_rt_model.stan
3,r,2,simplified_multistream_rt.R;simplified_multistream_rt_model.stan
3,r,3,simple_multistream_rt.R
3,python,1,robust_rt_estimation.py
3,python,2,simple_rt_model.py
3,python,3,rt_simple_working.py
3,julia,1,demo_rt_estimation.jl
3,julia,2,multistream_rt_headless.jl
3,julia,3,rt_estimation_alternative.jl
3,epiaware,1,simplified_multi_stream_rt.jl
3,epiaware,2,matrix_rt_estimation.jl
3,epiaware,3,stable_multistream_rt.jl
